,,,,,,Occupancy,Occupancy,Occupancy
Trial,,,,,,1,2,3
Batch,Odor,Day,FlyIDConstant,Flynum,Concentration,,,
1,Off,2,Yes,1,0.39,0.113526570048309,0.472189349112426,0.406513872135103
1,Off,2,Yes,2,0.39,1.0,0.659171597633136,0.463208685162847
1,Off,2,Yes,3,0.39,0.347826086956522,0.66508875739645,0.697225572979493
1,Off,2,Yes,4,0.39,0.297101449275362,0.0,0.173703256936068
1,Off,2,Yes,5,0.39,0.340579710144928,0.618934911242604,0.277442702050663
1,Off,2,Yes,6,0.39,0.83695652173913,0.576331360946746,0.609167671893848
1,Off,2,Yes,7,0.39,0.893719806763285,0.990532544378698,0.126658624849216
1,Off,2,Yes,8,0.39,0.417874396135266,0.660355029585799,0.594692400482509
1,Off,2,Yes,9,0.39,0.594202898550725,0.514792899408284,0.417370325693607
1,Off,2,Yes,10,0.39,0.98792270531401,0.468639053254438,0.712907117008444
1,Off,2,Yes,11,0.39,0.0748792270531401,0.126627218934911,0.265379975874548
1,Off,2,Yes,12,0.39,0.0966183574879227,0.610650887573964,0.757539203860072
1,Off,2,Yes,13,0.39,0.449275362318841,0.528994082840237,0.417370325693607
1,Off,2,Yes,14,0.39,1.0,0.0,0.014475271411339
1,Off,2,Yes,15,0.39,0.590579710144927,0.506508875739645,0.698431845597105
1,On,2,Yes,1,0.39,0.845070422535211,0.878151260504202,0.856946354883081
1,On,2,Yes,2,0.39,0.936619718309859,0.864145658263305,0.885832187070151
1,On,2,Yes,3,0.39,0.61830985915493,0.850140056022409,0.800550206327373
1,On,2,Yes,4,0.39,0.516901408450704,0.0896358543417367,0.566712517193948
1,On,2,Yes,5,0.39,0.733802816901408,0.42436974789916,0.132049518569464
1,On,2,Yes,6,0.39,0.805633802816901,0.338935574229692,0.815680880330124
1,On,2,Yes,7,0.39,0.202816901408451,0.470588235294118,0.253094910591472
1,On,2,Yes,8,0.39,0.636619718309859,0.92436974789916,0.858321870701513
1,On,2,Yes,9,0.39,0.307042253521127,0.366946778711485,0.462173314993122
1,On,2,Yes,10,0.39,0.58169014084507,0.560224089635854,0.900962861072902
1,On,2,Yes,11,0.39,0.345070422535211,0.330532212885154,0.360385144429161
1,On,2,Yes,12,0.39,0.604225352112676,0.600840336134454,0.56808803301238
1,On,2,Yes,13,0.39,0.66056338028169,0.180672268907563,0.185694635488308
1,On,2,Yes,14,0.39,1.0,0.362745098039216,0.247592847317744
1,On,2,Yes,15,0.39,0.597183098591549,0.015406162464986,0.854195323246217
2,Off,2,Yes,1,0.39,0.507109004739337,0.504716981132076,0.435251798561151
2,Off,2,Yes,2,0.39,0.469194312796209,0.566037735849057,0.761390887290168
2,Off,2,Yes,3,0.39,0.752369668246445,0.558962264150943,0.50599520383693
2,Off,2,Yes,4,0.39,0.588862559241706,0.406839622641509,0.326139088729017
2,Off,2,Yes,5,0.39,0.658767772511848,0.482311320754717,0.146282973621103
2,Off,2,Yes,6,0.39,0.675355450236967,0.261792452830189,0.573141486810552
2,Off,2,Yes,7,0.39,0.610189573459716,0.495283018867925,0.479616306954436
2,Off,2,Yes,8,0.39,0.684834123222749,0.720518867924528,1.0
2,Off,2,Yes,9,0.39,0.303317535545024,0.439858490566038,0.351318944844125
2,Off,2,Yes,10,0.39,0.938388625592417,0.73938679245283,0.0
2,Off,2,Yes,11,0.39,0.546208530805687,0.542452830188679,0.585131894484412
2,Off,2,Yes,12,0.39,0.781990521327014,0.110849056603774,0.0119904076738609
2,Off,2,Yes,13,0.39,0.530805687203792,0.5625,0.476019184652278
2,Off,2,Yes,14,0.39,0.464454976303318,0.557783018867924,0.233812949640288
2,Off,2,Yes,15,0.39,0.553317535545024,0.516509433962264,0.492805755395683
2,On,2,Yes,1,0.39,0.0030395136778115,0.727146814404432,0.308743169398907
2,On,2,Yes,2,0.39,0.530395136778115,0.731301939058172,0.583333333333333
2,On,2,Yes,3,0.39,0.349544072948328,0.401662049861496,0.32103825136612
2,On,2,Yes,4,0.39,0.0699088145896656,0.002770083102493,0.087431693989071
2,On,2,Yes,5,0.39,0.32370820668693,0.497229916897507,0.525956284153005
2,On,2,Yes,6,0.39,0.300911854103343,0.441828254847645,0.203551912568306
2,On,2,Yes,7,0.39,0.490881458966565,0.389196675900277,0.524590163934426
2,On,2,Yes,8,0.39,0.428571428571429,0.975069252077562,1.0
2,On,2,Yes,9,0.39,0.170212765957447,0.0941828254847645,0.0573770491803279
2,On,2,Yes,10,0.39,0.384498480243161,0.301939058171745,0.822404371584699
2,On,2,Yes,11,0.39,0.48936170212766,0.560941828254848,0.498633879781421
2,On,2,Yes,12,0.39,0.480243161094225,0.28808864265928,0.377049180327869
2,On,2,Yes,13,0.39,0.316109422492401,0.526315789473684,0.580601092896175
2,On,2,Yes,14,0.39,0.43161094224924,0.382271468144044,0.158469945355191
2,On,2,Yes,15,0.39,0.586626139817629,0.691135734072022,0.538251366120219
3,Off,2,Yes,1,0.39,0.509569377990431,0.561660561660562,0.612862547288777
3,Off,2,Yes,2,0.39,0.720095693779904,0.468864468864469,0.562421185372005
